language_name,language_code,multi_target,target_code,opus_mt_url
afrikaans,af,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-af
albanian,sq,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-sq
amharic,am,1,amh,https://huggingface.co/Helsinki-NLP/opus-mt-en-mul
arabic,ar,1,ara,https://huggingface.co/Helsinki-NLP/opus-mt-en-ar
azerbaijani,az,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-az
bengali,bn,1,ben,https://huggingface.co/Helsinki-NLP/opus-mt-en-mul
bosnian,bs,1,bos_Latn,https://huggingface.co/Helsinki-NLP/opus-mt-en-sla
bulgarian,bg,1,bul,https://huggingface.co/Helsinki-NLP/opus-mt-en-bg
catalan,ca,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-ca
chinese_simplified,zh,1,cmn_Hans,https://huggingface.co/Helsinki-NLP/opus-mt-en-zh
chinese_traditional,zh,1,cmn_Hant,https://huggingface.co/Helsinki-NLP/opus-mt-en-zh
croatian,hr,1,hrv,https://huggingface.co/Helsinki-NLP/opus-mt-en-sla
czech,cs,1,ces,https://huggingface.co/Helsinki-NLP/opus-mt-en-sla
danish,da,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-da
dutch,nl,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-nl
english,en,0,,
estonian,et,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-et
french,fr,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-fr
german,de,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-de
greek,el,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-el
hindi,hi,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-hi
hungarian,hu,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-hu
icelandic,is,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-is
indonesian,id,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-id
italian,it,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-it
japanese,ja,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-jap
macedonian,mk,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-mk
malayalam,ml,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-ml
marathi,mr,1,mar,https://huggingface.co/Helsinki-NLP/opus-mt-en-mul
polish,pl,1,pol,https://huggingface.co/Helsinki-NLP/opus-mt-en-sla
portuguese,pt,1,por,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-pt
romanian,ro,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-ro
russian,ru,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-ru
serbian,sr,1,srp_Cyrl,https://huggingface.co/Helsinki-NLP/opus-mt-en-sla
slovenian,sl,1,slv,https://huggingface.co/Helsinki-NLP/opus-mt-en-sla
spanish,es,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-es
swahili,sw,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-sw
swedish,sv,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-sv
tagalog,tl,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-tl
telugu,te,1,tel,https://huggingface.co/Helsinki-NLP/opus-mt-en-mul
turkish,tr,0,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-tr
turkmen,tk,1,tuk,https://huggingface.co/Helsinki-NLP/opus-mt-en-trk
ukrainian,uk,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-uk
urdu,ur,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-ur
uyghur,ug,1,uig_Arab,https://huggingface.co/Helsinki-NLP/opus-mt-en-trk
uzbek,uz,1,uzb_Latn,https://huggingface.co/Helsinki-NLP/opus-mt-en-trk
vietnamese,vi,1,vie,https://huggingface.co/Helsinki-NLP/opus-mt-en-vi
xhosa,xh,0,,https://huggingface.co/Helsinki-NLP/opus-mt-en-xh
